No,b,h,t,L,fy,fc,N,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12
584,100,100,2,2500,240,33.4,350,,,,,
585,100,100,2,2500,240,33.4,360,,,,,
586,100,100,2,2500,240,33.4,396,,,,,
587,100,100,2,2500,240,33.4,342,,,,,
588,100,100,2,2500,240,10,261,,,,,
589,100,100,2,2500,240,10,240,,,,,
590,100,100,2,2500,240,10,265,,,,,
591,100,100,2,2500,240,10,243,,,,,
592,100,100,2.93,600,293.5,34.3,802,,,,,
593,120,120,2.93,600,293.5,34.3,1054,,,,,
594,200,200,3,600,303.5,58.5,2458,,,,,
595,200,200,3,600,303.5,58.5,2594,,,,,
596,200,200,3,600,303.5,58.5,2306,,,,,
597,200,200,3,600,303.5,58.5,2284,,,,,
598,200,200,3,600,303.5,58.5,2550,,,,,
599,200,200,3,600,303.5,58.5,2587,,,,,
600,200,200,3,2310,303.5,58.5,1986,,,,,
601,200,200,3,2310,303.5,58.5,2045,,,,,
602,200,200,3,2310,303.5,58.5,2280,,,,,
603,200,200,3,2310,303.5,58.5,2173,,,,,
604,200,200,3,2310,303.5,58.5,2258,,,,,
605,148,148,4.38,444,262,25.4,1153,,,,,
606,148,148,4.38,444,262,40.5,1414,,,,,
607,148,148,4.38,444,262,40.5,1402,,,,,
608,148,148,4.38,444,262,77,2108,,,,,
609,215,215,4.38,645,262,25.4,1777,,,,,
610,215,215,4.38,645,262,41.1,2424,,,,,
611,215,215,4.38,645,262,41.1,2393,,,,,
612,215,215,4.38,645,262,80.3,3837,,,,,
613,144,144,6.36,432,618,25.4,2572,,,,,
614,144,144,6.36,432,618,40.5,2808,,,,,
615,144,144,6.36,432,618,40.5,2765,,,,,
616,144,144,6.36,432,618,77,3399,,,,,
617,211,211,6.36,633,618,25.4,3920,,,,,
618,211,211,6.36,633,618,40.5,4428,,,,,
619,211,211,6.36,633,618,40.5,4484,,,,,
620,211,211,6.36,633,618,77,5758,,,,,
621,319,319,6.36,957,618,25.4,6320,,,,,
622,319,319,6.36,957,618,41.1,7780,,,,,
623,318,318,6.36,954,618,41.1,7473,,,,,
624,120,120,6.47,360,835,25.4,2819,,,,,
625,120,120,6.47,360,835,40.5,2957,,,,,
626,120,120,6.47,360,835,40.5,2961,,,,,
627,119,119,6.47,357,835,77,3318,,,,,
628,175,175,6.47,525,835,25.4,4210,,,,,
629,175,175,6.47,525,835,40.5,4493,,,,,
630,175,175,6.47,525,835,40.5,4542,,,,,
631,175,175,6.47,525,835,77,5366,,,,,
632,265,265,6.47,795,835,25.4,6546,,,,,
633,264,264,6.47,792,835,41.1,7117,,,,,
634,265,265,6.47,795,835,41.1,7172,,,,,
635,265,265,6.47,795,835,80.3,8990,,,,,
636,210,210,5.48,630,294,39.1,3183,,,,,
637,211,211,5.48,633,294,91.1,4773,,,,,
638,210,210,4.5,630,277,39.1,2713,,,,,
639,211,211,4.5,633,277,91.1,4371,,,,,
640,211,211,8.83,633,536,39.1,5898,,,,,
641,211,211,8.83,633,536,91.1,7008,,,,,
642,204,204,5.95,612,540,39.1,4026,,,,,
643,204,204,5.95,612,540,91.1,5303,,,,,
644,180,180,9.45,540,825,39.1,6803,,,,,
645,180,180,9.45,540,825,91.1,7402,,,,,
646,180,180,6.6,540,824,39.1,5028,,,,,
647,180,180,6.6,540,824,91.1,5873,,,,,
648,200,200,2.5,1190,270,58.3,2260,,,,,
649,200,200,2.5,2340,270,58.3,2305,,,,,
650,100,100,1.9,300,404,121.6,1209,,,,,
651,100,100,1.9,300,404,121.6,1220,,,,,
652,100,100,1.9,300,404,121.6,1190,,,,,
653,100,100,1.9,300,404,121.6,1220,,,,,
654,100,100,1.9,900,404,121.6,1013,,,,,
655,100,100,1.9,900,404,121.6,1010,,,,,
656,100,100,1.9,1500,404,121.6,915,,,,,
657,100,100,1.9,1500,404,121.6,945,,,,,
658,150,150,3,675,324.4,52.6,1516,,,,,
659,150,150,3,900,324.4,52.6,1599,,,,,
660,249.6,249.6,3.7,750,324.3,40.4,3131,,,,,
661,251,251,3.75,750,324.3,40.4,2832,,,,,
662,251.1,251.1,3.73,750,324.3,40.4,2677,,,,,
663,70,70,5,210,701,21,1367,,,,,
664,100,100,5,300,701,21,1934,,,,,
665,125,125,5,375,701,21,2348,,,,,
666,150,150,5,450,701,21,2828,,,,,
667,110,110,5,330,701,54.5,2203,,,,,
